street_address,city,region,postal_code,raw_visit_counts,raw_visitor_counts
5504 Durham Chapel Hill Blvd Ste 103,Durham,NC,27707,3,3
1717 NC Highway 67,Jonesville,NC,28642,1528,1212
1555 W Mountain St,Kernersville,NC,27284,820,430
555 Community House Rd,Roxboro,NC,27574,376,241
951 Silas Creek Pkwy,Winston Salem,NC,27127,452,355
1022 Bethania Rural Hall Rd,Rural Hall,NC,27045,138,119
3478 Robinhood Rd,Winston Salem,NC,27106,589,307
3325 N Roxboro St,Durham,NC,27704,747,463
623 Waughtown St,Winston Salem,NC,27107,327,191
105 N Columbia St,Chapel Hill,NC,27514,60,56
4015 University Dr,Durham,NC,27707,23,20
1129 Weaver Dairy Rd,Chapel Hill,NC,27514,17,13
2908 Hillsborough Rd,Durham,NC,27705,180,47
615 Hampton Pt,Hillsborough,NC,27278,166,82
6373 Shallowford Rd,Lewisville,NC,27023,13,13
6310 Allegacy Way,Clemmons,NC,27012,503,398
1977 N Main St,Goldston,NC,27252,364,152
1329 N 2nd Ave,Siler City,NC,27344,363,172
Lewisville Clemmons Rd,Clemmons,NC,27012,198,136
301 S Main St,King,NC,27021,437,272
904 W Main St,Durham,NC,27701,42,38
4521 N Roxboro St,Durham,NC,27704,808,532
1039 N Madison Blvd,Roxboro,NC,27573,227,157
4505 Kester Mill Rd,Winston Salem,NC,27103,1600,1200
529 N Trade St,Winston Salem,NC,27101,2,2
3103 Peters Creek Pkwy,Winston Salem,NC,27127,1385,946
3411 University Dr,Durham,NC,27707,58,40
9 Circuit Dr,Durham,NC,27710,147,43
719 Coliseum Dr,Winston Salem,NC,27106,469,269
115 N Main St,Mocksville,NC,27028,108,70
975 S Main St,Kernersville,NC,27284,761,588
11550 Us 15 501 N,Chapel Hill,NC,27517,47,40
1479 New Walkertown Rd,Winston Salem,NC,27101,166,124
1821 Hillandale Rd,Durham,NC,27705,496,334
420 Jonestown Rd Ste U,Winston Salem,NC,27104,108,98
2973 Fairlawn Dr,Winston Salem,NC,27106,86,39
1690 Westbrook Plaza Dr,Winston Salem,NC,27103,538,386
401 E Lakewood Ave,Durham,NC,27707,96,74
6246 Towncenter Dr,Clemmons,NC,27012,40,38
5650 US Hwy 15 501 N,Pittsboro,NC,27312,38,37
1418 Avondale Dr,Durham,NC,27701,247,177
110 W Franklin St,Chapel Hill,NC,27516,292,221
1834 Wake Forest Rd,Winston Salem,NC,27109,63,23
150 Hanes Mill Ct,Winston Salem,NC,27105,431,285
911 Fayetteville St,Durham,NC,27701,61,37
8191 Broad St,Rural Hall,NC,27045,65,53
806 W Main St,Durham,NC,27701,163,127
4104 Surles Ct Ste 4,Durham,NC,27703,111,94
910 N Miami Blvd,Durham,NC,27703,71,55
235 S Churton St,Hillsborough,NC,27278,15,10
1301 E Franklin St,Chapel Hill,NC,27514,44,31
5256 Robinhood Village Dr,Winston Salem,NC,27106,310,231
154 Charlois Blvd,Winston Salem,NC,27103,79,26
247 W NC Highway 54,Durham,NC,27713,171,119
3742 Durham Chapel Hill Blvd,Durham,NC,27707,79,53
607 Peters Creek Pkwy,Winston Salem,NC,27103,4,2
3490 Martins Trail Ln,Walkertown,NC,27051,209,155
564 Hanes Mall Blvd,Winston Salem,NC,27103,13,13
36 Lenoir Dr,Chapel Hill,NC,27599,166,65
2855 Reynolda Rd,Winston Salem,NC,27106,300,261
5195 Walkertown Commons Cir,Walkertown,NC,27051,559,424
3140 Environ Way,Chapel Hill,NC,27517,178,117
133 W Franklin St Ste 120,Chapel Hill,NC,27516,200,125
330 S Churton St,Hillsborough,NC,27278,1440,881
6910 Fayetteville Rd,Durham,NC,27713,1,1
1822 Martin Luther King Jr Blvd,Chapel Hill,NC,27514,68,58
608 N Mangum St,Durham,NC,27701,49,24
905 Burke St,Winston Salem,NC,27101,88,51
306 W Franklin St Ste G,Chapel Hill,NC,27516,16,15
9981 Siler City Glendon Rd,Bear Creek,NC,27207,84,55
2110 Allendown Dr,Durham,NC,27713,66,53
3512 Yadkinville Rd,Winston Salem,NC,27106,124,93
584 W Northwest Blvd,Winston Salem,NC,27105,117,81
402 W Geer St,Durham,NC,27701,48,22
612 Hanes Mall Blvd,Winston Salem,NC,27103,20,20
319 E Chapel Hill St,Durham,NC,27701,101,70
1112 Yadkinville Rd U. 104,Mocksville,NC,27028,433,289
6905 Fayetteville Rd,Durham,NC,27713,466,296
2894 Reynolda Rd,Winston Salem,NC,27106,1,1
189 Hickory Tree Rd,Midway,NC,27107,1,1
203 W Weaver St,Carrboro,NC,27510,48,25
729 NC Highway 66 S,Kernersville,NC,27284,469,327
7736 N Point Blvd Ste 200,Winston Salem,NC,27106,235,110
3278 Silas Creek Pkwy,Winston Salem,NC,27103,332,240
101 E Chapel Hill St,Durham,NC,27701,57,56
2519 Lewisville Clemmons Rd,Clemmons,NC,27012,126,100
46 Sanford Rd,Pittsboro,NC,27312,402,238
625 N Madison Blvd,Roxboro,NC,27573,196,108
5312 Robinhood Village Dr,Winston Salem,NC,27106,605,401
2301 N Roxboro St,Durham,NC,27704,82,68
2608 Erwin Rd,Durham,NC,27705,243,199
4201 University Dr Ste 112,Durham,NC,27707,33,29
206 W Franklin St,Chapel Hill,NC,27516,28,22
631 S Madison Blvd,Roxboro,NC,27573,44,31
2200 W Main St,Durham,NC,27705,125,80
2945 S Miami Blvd Ste 118,Durham,NC,27703,28,22
6910 Fayetteville Rd,Durham,NC,27713,2,2
162 Exchange Park Ln,Hillsborough,NC,27278,107,71
3108 Glenn Rd,Durham,NC,27704,9,6
4335 Pine Hall Rd,Walnut Cove,NC,27052,297,232
50100 Governors Dr,Chapel Hill,NC,27517,101,69
1423 Yadkinville Rd,Mocksville,NC,27028,273,198
2859 Reynolda Rd,Winston Salem,NC,27106,82,70
1101 Yadkinville Rd,Mocksville,NC,27028,8,6
5431 Page Rd,Durham,NC,27703,172,150
1519 Union Cross Rd,Kernersville,NC,27284,179,154
1555 Hanes Mall Blvd,Winston Salem,NC,27103,64,62
120 Hanes Square Shop Cir,Winston Salem,NC,27103,257,196
